filename,locality,condition,take,model,ground_truth,transcript,transcript_normalized,wer,cer,entity_hit,fuzzy_score,latency_ms,error
banashankari_noisy_01.wav,banashankari,noisy,01,ai4bharat,मैं बनशंकरी में रहता हूँ,मैं एक्चुअली बनशंकरी में कती हू,मैं एक्चुअली बनशंकरी में कती हू,0.6,0.5417,1,100.0,302.45,
bellandur_noisy_01.wav,bellandur,noisy,01,ai4bharat,बेलंदूर में फ्लैट लेना है,मुझे बैलनदूर में फ्लैट लेना है,मुझे बैलनदूर में फ्लैट लेना है,0.4,0.28,0,71.42857142857143,36.7707,
bommanahalli_whispered_01.wav,bommanahalli,whispered,01,ai4bharat,बोम्मनहल्ली में हूँ मैं,उमन हम्ने में हू मयार,उमन हम्ने में हू मयार,1.0,0.5217,0,44.44444444444444,33.4566,
btm-layout_phone_01.wav,btm-layout,phone,01,ai4bharat,BTM लेआउट से कॉल कर रहा हूँ,बीएमटी लेआउट से कॉल कर रहा हू,बीएमटी लेआउट से कॉल कर रहा हू,0.2857,0.2593,1,83.33333333333334,41.5381,
electronic-city_noisy_01.wav,electronic-city,noisy,01,ai4bharat,Electronic City में जॉब मिल सकती है क्या,इलेक्ट्रॉनमिक सती में जॉब मन सकती है क्या,इलेक्ट्रॉनमिक सती में जॉब मन सकती है क्या,0.375,0.475,1,88.23529411764706,40.6539,
hebbal_quiet_01.wav,hebbal,quiet,01,ai4bharat,हेब्बल के पास कोई जॉब है क्या,हेबल के पास कोई जॉब है क्या,हेबल के पास कोई जॉब है क्या,0.1429,0.069,1,80.0,28.0551,
hsr-layout_phone_01.wav,hsr-layout,phone,01,ai4bharat,भाई HSR लेआउट में आ जाओ,एचएसआर लेआउट में रहता हूं भाई,एचएसआर लेआउट में रहता हूं भाई,0.8333,0.7391,1,100.0,27.6297,
indiranagar_quiet_01.wav,indiranagar,quiet,01,ai4bharat,मेरा घर इंदिरानगर में है,मेरा घर इंदिरा नगर में है भाई,मेरा घर इंदिरा नगर में है भाई,0.6,0.2083,1,88.88888888888889,31.6535,
jayanagar_quiet_01.wav,jayanagar,quiet,01,ai4bharat,जयनगर में एक रूम ढूंढ रहा हूँ,जयानगर में एक रूम ढूँढ रहा हूँ,जयानगर में एक रूम ढूँढ रहा हूँ,0.2857,0.069,1,80.0,23.3205,
koramangala_quiet_01.wav,koramangala,quiet,01,ai4bharat,हाँ मैं कोरमंगला में रहता हूँ,आप भई मैं कोरा मगला में रहता हूँ,आप भई मैं कोरा मगला में रहता हूँ,0.6667,0.2759,1,75.0,25.2271,
kr-puram_phone_01.wav,kr-puram,phone,01,ai4bharat,KR पुरम में हूँ मैं,केयरपुर में में काम दमुद रहा हूँ,केयरपुर में में काम दमुद रहा हूँ,1.2,1.1053,1,77.77777777777779,24.8351,
majestic_whispered_01.wav,majestic,whispered,01,ai4bharat,मैजेस्टिक बस स्टैंड के पास रहता हूँ,ाटिस्टिक बरस्टान के पास पहता हू,ाटिस्टिक बरस्टान के पास पहता हू,0.7143,0.3143,0,58.82352941176471,23.051,
marathahalli_noisy_01.wav,marathahalli,noisy,01,ai4bharat,भाई मराठाहल्ली में रहता हूँ मैं,ई मारा हाली मेरा चस मह,ई मारा हाली मेरा चस मह,1.0,0.5161,0,60.0,22.7107,
peenya_whispered_01.wav,peenya,whispered,01,ai4bharat,पीन्या में रहता हूँ,टेमिया में रहती हूँ मैं,टेमिया में रहती हूँ मैं,0.75,0.4737,0,33.333333333333336,19.5088,
rajajinagar_phone_01.wav,rajajinagar,phone,01,ai4bharat,राजाजीनगर में काम ढूंढ रहा हूँ,राजी नगर में में काम सुन रहा हूँ,राजी नगर में में काम सुन रहा हूँ,0.6667,0.3667,1,82.35294117647058,22.1955,
sarjapur_whispered_01.wav,sarjapur,whispered,01,ai4bharat,सरजापुर रोड के पास हूँ,सर्जापुर रोड के पास हूं मैं,सर्जापुर रोड के पास हूं मैं,0.6,0.2727,1,85.71428571428572,19.9159,
silk-board_noisy_01.wav,silk-board,noisy,01,ai4bharat,Silk Board के पास हूँ अभी,सिल्फ बोर्ड के पास हु भू मे,सिल्फ बोर्ड के पास हु भू मे,0.8333,0.68,1,90.9090909090909,21.6719,
whitefield_quiet_01.wav,whitefield,quiet,01,ai4bharat,मैं Whitefield से हूँ,मैं वाइट फील्स हूँ,मैं वाइट फील्स हूँ,0.5,0.5714,0,72.72727272727273,16.7791,
yelahanka_phone_01.wav,yelahanka,phone,01,ai4bharat,येलहंका एरिया में कोई वेकेंसी है,उनका एरिया में तो ातंसी है क्या,उनका एरिया में तो ातंसी है क्या,0.6667,0.5,0,44.44444444444444,21.0193,
yeshwantpur_whispered_01.wav,yeshwantpur,whispered,01,ai4bharat,यशवंतपुर स्टेशन के पास,यशवंतपुर स्टेशन के पास,यशवंतपुर स्टेशन के पास,0.0,0.0,1,100.0,26.1446,
